   ParticleSize         Wariai
             0.10000             0.08251
             0.20000             1.29282
             0.30000             5.74893
             0.40000            17.19203
             0.50000            48.13745
             0.60000            74.87465
             0.70000            84.27369
             0.80000            90.99337
             0.90000           100.00000
             1.00000           100.00000
