   ParticleSize         Wariai
             0.10000             0.00000
             0.20000             0.22991
             0.30000             2.04046
             0.40000            15.52886
             0.50000            34.68824
             0.60000            69.86533
             0.70000            79.68535
             0.80000            93.72664
             0.90000           100.00000
             1.00000           100.00000
