   ParticleSize         Wariai
             0.10000             0.01153
             0.20000             0.56491
             0.30000             0.87618
             0.40000             8.99253
             0.50000            23.40346
             0.60000            48.30587
             0.70000            68.00249
             0.80000            84.90058
             0.90000           100.00000
             1.00000           100.00000
