   ParticleSize         Wariai
             0.10000             0.01594
             0.20000             0.33483
             0.30000             1.41109
             0.40000            17.73857
             0.50000            44.64503
             0.60000            72.19761
             0.70000            83.09401
             0.80000            94.77927
             0.90000           100.00000
             1.00000           100.00000
